"test_accur"  "test_kap"  "train_accur"  "train_kap"  "cpu_time"  "data_size"
"1"  0.66  0.319  0.722  0.42  6.989  25325
"2"  0.662  0.323  0.791  0.54  5.663  20260
"3"  0.66  0.32  0.78  0.515  4.732  16208
"4"  0.661  0.323  0.771  0.501  3.695  12967
"5"  0.658  0.315  0.77  0.499  3.049  10374
"6"  0.655  0.31  0.762  0.49  2.485  8300
"7"  0.655  0.31  0.765  0.498  2.027  6640
"8"  0.652  0.304  0.77  0.505  1.677  5312
"9"  0.648  0.295  0.76  0.484  1.396  4250
"10"  0.648  0.297  0.735  0.446  1.168  3400
"11"  0.648  0.295  0.768  0.506  0.995  2720
"12"  0.645  0.29  0.737  0.45  0.865  2176
"13"  0.637  0.274  0.727  0.445  0.737  1741
"14"  0.632  0.264  0.706  0.413  0.643  1393
"15"  0.629  0.259  0.645  0.317  0.566  1115
