"test_accur"  "test_kap"  "train_accur"  "train_kap"  "cpu_time"  "data_size"
"1"  0.831  0.525  0.844  0.566  0.564758777618408  24131
"2"  0.828  0.515  0.838  0.553  0.410127878189087  19306
"3"  0.826  0.505  0.839  0.551  0.410571813583374  15445
"4"  0.824  0.498  0.839  0.551  0.378387212753296  12356
"5"  0.82  0.481  0.835  0.54  0.371607542037964  9885
"6"  0.819  0.469  0.828  0.508  0.367079973220825  7909
"7"  0.817  0.461  0.834  0.519  0.356659412384033  6328
"8"  0.818  0.466  0.822  0.484  0.349200487136841  5063
"9"  0.817  0.465  0.828  0.504  0.344428777694702  4051
"10"  0.812  0.45  0.84  0.535  0.341333866119385  3242
"11"  0.806  0.422  0.828  0.506  0.338465929031372  2595
"12"  0.805  0.404  0.846  0.538  0.326417684555054  2077
"13"  0.803  0.399  0.794  0.372  0.326023101806641  1663
"14"  0.804  0.402  0.812  0.446  0.325053215026855  1331
"15"  0.797  0.374  0.812  0.423  0.322365045547485  1066
"16"  0.795  0.372  0.812  0.442  0.320405960083008  853
"17"  0.797  0.378  0.82  0.466  0.32011079788208  683
"18"  0.79  0.375  0.8  0.413  0.319777488708496  547
"19"  0.78  0.375  0.795  0.426  0.319999933242798  438
"20"  0.778  0.332  0.811  0.449  0.318537473678589  351
