"test_accur"  "test_kap"  "train_accur"  "train_kap"  "cpu_time"  "data_size"
"1"  0.843  0.559  0.851  0.58  9.407  24131
"2"  0.843  0.565  0.85  0.586  6.835  19306
"3"  0.845  0.563  0.848  0.568  6.024  15445
"4"  0.836  0.546  0.843  0.558  3.994  12356
"5"  0.838  0.536  0.849  0.561  3.401  9885
"6"  0.835  0.53  0.852  0.582  2.608  7909
"7"  0.822  0.515  0.836  0.554  2.139  6328
"8"  0.833  0.522  0.814  0.486  1.783  5063
"9"  0.826  0.509  0.836  0.574  1.401  4051
"10"  0.828  0.517  0.823  0.505  1.16  3242
"11"  0.807  0.492  0.833  0.563  1.008  2595
"12"  0.812  0.471  0.812  0.522  0.865  2077
"13"  0.813  0.483  0.814  0.538  0.73  1663
"14"  0.815  0.502  0.835  0.566  0.643  1331
"15"  0.809  0.476  0.794  0.425  0.574  1066
"16"  0.787  0.433  0.801  0.398  0.549  853
"17"  0.8  0.48  0.811  0.496  0.487  683
"18"  0.796  0.444  0.782  0.406  0.45  547
"19"  0.781  0.429  0.765  0.37  0.416  438
"20"  0.767  0.389  0.755  0.383  0.404  351
