"test_accur"  "test_kap"  "train_accur"  "train_kap"  "cpu_time"  "data_size"
"1"  0.844  0.551  0.865  0.61  1.678  24131
"2"  0.842  0.541  0.867  0.612  56.116  19306
"3"  0.84  0.534  0.854  0.584  36.01  15445
"4"  0.839  0.533  0.855  0.571  22.664  12356
"5"  0.838  0.525  0.849  0.566  14.195  9885
"6"  0.834  0.512  0.841  0.52  7.416  7909
"7"  0.833  0.509  0.848  0.53  4.877  6328
"8"  0.832  0.505  0.857  0.584  3.121  5063
"9"  0.83  0.496  0.84  0.534  2.111  4051
"10"  0.831  0.502  0.832  0.518  1.48  3242
"11"  0.83  0.494  0.824  0.509  1.056  2595
"12"  0.831  0.494  0.829  0.487  0.784  2077
"13"  0.829  0.484  0.83  0.516  0.617  1663
"14"  0.828  0.483  0.802  0.387  0.505  1331
"15"  0.827  0.478  0.834  0.507  0.445  1066
"16"  0.819  0.437  0.848  0.521  0.402  853
"17"  0.814  0.401  0.82  0.393  0.368  683
"18"  0.806  0.369  0.818  0.442  0.344  547
"19"  0.806  0.37  0.811  0.397  0.332  438
"20"  0.804  0.365  0.849  0.259  0.331  351
