"test_accur"       "test_kap"       "train_accur"       "train_kap"       "cpu_time"       "data_size"
"1"       0.661       0.322       0.661       0.32       1.91       25325
"2"       0.658       0.316       0.658       0.314       1.488       20260
"3"       0.655       0.31       0.671       0.34       1.239       16208
"4"       0.656       0.311       0.669       0.339       0.896       12967
"5"       0.654       0.307       0.669       0.337       0.795       10374
"6"       0.653       0.305       0.669       0.337       0.543       8300
"7"       0.655       0.31       0.654       0.308       0.415       6640
"8"       0.643       0.286       0.631       0.262       0.328       5312
"9"       0.645       0.29       0.678       0.355       0.259       4250
"10"       0.655       0.31       0.646       0.295       0.203       3400
"11"       0.649       0.297       0.664       0.322       0.161       2720
"12"       0.65       0.3       0.662       0.316       0.12       2176
"13"       0.643       0.285       0.694       0.388       0.096       1741
"14"       0.634       0.267       0.663       0.328       0.075       1393
"15"       0.642       0.284       0.687       0.373       0.061       1115
"16"       0.637       0.273       0.72       0.441       0.046       892
"17"       0.636       0.272       0.679       0.356       0.038       714
"18"       0.628       0.256       0.605       0.212       0.03       572
"19"       0.597       0.194       0.717       0.447       0.025       458
"20"       0.563       0.127       0.676       0.323       0.02       367
