"test_accur"  "test_kap"  "train_accur"  "train_kap"  "cpu_time"  "data_size"
"1"  0.739  0.161  0.783  0.203  10.8  41095
"2"  0.741  0.168  0.787  0.177  8.636  32877
"3"  0.737  0.162  0.784  0.155  6.816  26303
"4"  0.734  0.146  0.782  0.161  5.442  21043
"5"  0.733  0.142  0.765  0.13  4.335  16835
"6"  0.733  0.146  0.78  0.146  3.484  13469
"7"  0.729  0.143  0.779  0.151  2.813  10776
"8"  0.727  0.141  0.8  0.17  2.262  8622
"9"  0.726  0.143  0.83  0.118  1.883  6898
"10"  0.725  0.149  0.83  0.125  1.576  5519
"11"  0.72  0.151  0.817  0.09  1.34  4416
"12"  0.714  0.131  0.812  0.078  1.158  3533
"13"  0.716  0.139  0.78  0.028  0.953  2828
"14"  0.713  0.143  0.815  0.136  0.824  2263
"15"  0.706  0.123  0.807  0.121  0.722  1811
"16"  0.702  0.107  0.807  0.082  0.642  1449
"17"  0.703  0.135  0.811  0.189  0.572  1160
"18"  0.692  0.121  0.807  0.149  0.52  929
"19"  0.695  0.104  0.763  0.063  0.474  744
"20"  0.702  0.109  0.817  0.132  0.441  596
