"test_accur"  "test_kap"  "train_accur"  "train_kap"  "cpu_time"  "data_size"
"1"  0.731  0.109  0.738  0.132  0.780460596084595  41095
"2"  0.731  0.109  0.739  0.139  0.705832481384277  32877
"3"  0.731  0.107  0.741  0.143  0.530682802200317  26303
"4"  0.732  0.109  0.744  0.152  0.503052473068237  21043
"5"  0.73  0.108  0.741  0.15  0.559021472930908  16835
"6"  0.731  0.111  0.745  0.164  0.428377389907837  13469
"7"  0.73  0.112  0.744  0.158  0.416707038879395  10776
"8"  0.73  0.109  0.742  0.155  0.384162187576294  8622
"9"  0.728  0.112  0.753  0.209  0.376041412353516  6898
"10"  0.728  0.103  0.732  0.109  0.363470315933228  5519
"11"  0.726  0.096  0.731  0.129  0.362165689468384  4416
"12"  0.728  0.096  0.729  0.084  0.351377725601196  3533
"13"  0.727  0.091  0.736  0.13  0.341711759567261  2828
"14"  0.729  0.092  0.726  0.081  0.344131231307983  2263
"15"  0.727  0.106  0.741  0.161  0.33818531036377  1811
"16"  0.726  0.1  0.736  0.121  0.337084054946899  1449
"17"  0.726  0.074  0.751  0.161  0.338190078735352  1160
"18"  0.727  0.06  0.736  0.097  0.335565328598022  929
"19"  0.725  0.059  0.741  0.139  0.330603122711182  744
"20"  0.725  0.036  0.728  0.062  0.323126554489136  596
