"test_accur"  "test_kap"  "train_accur"  "train_kap"  "cpu_time"  "data_size"
"1"  0.731  0.127  0.773  0.152  2.008  15982
"2"  0.73  0.12  0.788  0.148  1.592  12786
"3"  0.734  0.143  0.789  0.132  1.362  10229
"4"  0.733  0.113  0.78  0.104  1.092  8184
"5"  0.729  0.156  0.749  0.092  1.062  6548
"6"  0.725  0.158  0.776  0.12  0.802  5239
"7"  0.733  0.175  0.792  0.183  0.678  4192
"8"  0.724  0.138  0.797  0.088  0.609  3355
"9"  0.726  0.158  0.794  0.109  0.58  2685
"10"  0.718  0.158  0.786  0.118  0.482  2149
"11"  0.711  0.151  0.771  0.085  0.458  1720
"12"  0.695  0.165  0.797  0.121  0.427  1376
"13"  0.708  0.139  0.828  0.099  0.4  1101
"14"  0.7  0.127  0.823  0.228  0.376  881
"15"  0.681  0.124  0.769  0.062  0.353  705
"16"  0.684  0.144  0.788  0.209  0.346  565
"17"  0.681  0.116  0.745  0.037  0.335  452
"18"  0.676  0.123  0.771  0.16  0.317  363
"19"  0.642  0.075  0.705  -0.036  0.321  291
"20"  0.633  0.06  0.704  -0.011  0.316  233
