"test_accur"  "test_kap"  "train_accur"  "train_kap"  "cpu_time"  "data_size"
"1"  0.734  0.087  0.776  0.115  1.296  20548
"2"  0.734  0.085  0.791  0.11  44.158  16439
"3"  0.735  0.092  0.79  0.092  24.839  13152
"4"  0.734  0.095  0.774  0.092  14.687  10522
"5"  0.733  0.1  0.77  0.102  8.493  8419
"6"  0.733  0.105  0.779  0.134  5.123  6736
"7"  0.729  0.085  0.791  0.146  3.456  5390
"8"  0.729  0.082  0.779  0.082  2.217  4312
"9"  0.73  0.094  0.825  0.099  1.38  3450
"10"  0.73  0.08  0.838  0.078  0.989  2761
"11"  0.732  0.1  0.83  0.099  0.736  2210
"12"  0.73  0.11  0.823  0.035  0.587  1769
"13"  0.728  0.126  0.81  0.081  0.487  1416
"14"  0.727  0.133  0.818  0.059  0.43  1134
"15"  0.726  0.12  0.795  0.11  0.38  908
"16"  0.724  0.123  0.785  0.042  0.354  727
"17"  0.719  0.123  0.811  0.165  0.346  583
"18"  0.717  0.088  0.844  -0.014  0.325  467
"19"  0.716  0.097  0.796  0  0.319  375
"20"  0.709  0.093  0.78  0.101  0.313  301
