"test_accur"       "test_kap"       "train_accur"       "train_kap"       "cpu_time"       "data_size"
"1"       0.73       0.113       0.734       0.134       2.638       15982
"2"       0.73       0.111       0.741       0.111       2.04       12786
"3"       0.724       0.079       0.724       0.089       1.608       10229
"4"       0.718       0       0.709       0       1.255       8184
"5"       0.722       0.034       0.71       0.031       0.988       6548
"6"       0.723       0.121       0.739       0.149       0.745       5239
"7"       0.723       0.077       0.747       0.16       0.58       4192
"8"       0.718       0       0.732       0       0.452       3354
"9"       0.718       0       0.723       0       0.353       2684
"10"       0.718       0       0.722       0       0.264       2148
"11"       0.718       0       0.731       0       0.212       1719
"12"       0.718       0       0.765       0       0.159       1376
"13"       0.718       0       0.731       0       0.122       1101
"14"       0.718       0       0.762       0       0.097       881
"15"       0.718       0       0.745       0       0.071       705
"16"       0.718       0       0.776       0       0.056       564
"17"       0.718       0       0.75       0       0.043       452
"18"       0.718       0       0.745       0       0.036       363
"19"       0.718       0       0.75       0       0.029       291
"20"       0.718       0       0.746       0       0.023       234
